"","SEX_label","JWTR_label","JWMNP","AGEP","PINCP"
"752","Female","Walked",20,23,11800
"753","Female","Walked",5,55,50000
"754","Female","Walked",12,43,105000
"755","Female","Walked",30,26,13000
"756","Female","Walked",70,78,748000
"757","Female","Walked",15,72,54500
"758","Female","Walked",10,41,4200
"759","Female","Walked",15,37,17500
"760","Female","Walked",10,23,57000
"761","Female","Walked",10,23,25000
"762","Female","Walked",15,22,27000
"763","Female","Walked",20,45,65000
"764","Female","Walked",5,36,90000
"765","Female","Walked",5,27,50000
"766","Female","Walked",1,31,12000
"767","Female","Walked",45,45,120000
"768","Female","Walked",20,65,78000
"769","Female","Walked",10,34,25000
"770","Female","Walked",10,51,16800
"771","Female","Walked",10,28,30000
"772","Female","Walked",15,45,10600
"773","Female","Walked",10,35,13700
"774","Female","Walked",10,54,30000
"775","Female","Walked",22,48,35900
"776","Female","Walked",40,62,35000
"777","Female","Walked",10,42,40000
"778","Female","Walked",10,67,116000
"779","Female","Walked",10,29,35000
"780","Female","Walked",15,21,2500
"781","Female","Walked",4,35,41000
"782","Female","Walked",4,33,3600
"783","Female","Walked",2,56,27700
"784","Female","Walked",30,25,26000
"785","Female","Walked",5,43,15600
"786","Female","Walked",10,48,42000
"787","Female","Walked",5,42,87900
"788","Female","Walked",5,19,5000
"789","Female","Walked",5,60,20200
"790","Female","Walked",30,59,55000
"791","Female","Walked",5,19,5000
"792","Female","Walked",10,26,40000
"793","Female","Walked",20,33,90000
"794","Female","Walked",5,53,75000
"795","Female","Walked",3,24,22000
"796","Female","Walked",5,24,23100
"797","Female","Walked",15,56,25000
"798","Female","Walked",10,56,50000
"799","Female","Walked",10,36,30000
"800","Female","Walked",10,28,90000
"801","Female","Walked",138,30,1e+05
"802","Female","Walked",15,87,25500
"803","Female","Walked",15,37,250000
"804","Female","Walked",3,23,35000
"805","Female","Walked",6,51,25000
"806","Female","Walked",15,60,18000
"807","Female","Walked",3,74,4500
"808","Female","Walked",25,32,127000
"809","Female","Walked",15,19,3000
"810","Female","Walked",5,42,2900
"811","Female","Walked",3,23,130000
